id	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	recordedBy	individualCount	year	continent	country	locality	minimumElevationInMeters	maximumElevationInMeters	decimalLatitude	decimalLongitude	scientificName	kingdom	phylum	class	order	family	taxonRank	vernacularName	taxonRemarks
urn:catalog:ARCOS:ECHUYA_2012:1	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:1	1	"MARTIN,CLAUDIEN,JAMES"		2012	Africa	Uganda	Echuya Forest	2361	2361	-1.247493	29.786215	Corvus albicollis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	CORVIDAE	species	White-necked raven	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:2	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:2	2	"MARTIN,CLAUDIEN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2361	2361	-1.247493	29.786215	Pycononotus barbatus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	PYCNONOTIDAE	species	Common bulbul	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:3	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:3	3	"MARTIN,CLAUDIEN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2361	2361	-1.247493	29.786215	Serinus striolatus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	FRINGILLIDAE	species	Streaky Seedeater	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:4	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:4	4	"MARTIN,CLAUDIEN,JAMES"		2012	Africa	Uganda	Echuya Forest	2361	2361	-1.247493	29.786215	Cinnyris venusta	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	NECTARINIIDAE	species	Variable Sunbird	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:5	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:5	5	"MARTIN,CLAUDIEN,JAMES"	4	2012	Africa	Uganda	Echuya Forest	2361	2361	-1.247493	29.786215	Motacilla aguimp	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MOTACILLIDAE	species	African pied wagtail	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:6	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:6	6	"MARTIN,CLAUDIEN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2361	2361	-1.247493	29.786215	Corvus albus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	CORVIDAE	species	Pied Crow	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:7	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:7	7	"MARTIN,CLAUDIEN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2361	2361	-1.247493	29.786215	Zosterops senegalensis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	ZOSTEROPIDAE	species	yellow white eye	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:8	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:8	8	"MARTIN,CLAUDIEN,JAMES"	2	2012	Africa	Uganda	Echuya Forest	2361	2361	-1.247493	29.786215	Cisticola chubbi	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	CISTICOLIDAE	species	Chubb's cisticola	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:9	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:9	9	"MARTIN,CLAUDIEN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2361	2361	-1.247493	29.786215	Euplectes capensis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	PLOCEIDAE	species	Yellow bishop	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:10	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:10	10	"MARTIN,CLAUDIEN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2361	2361	-1.247493	29.786215	Estrilda melanotis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	ESTRILDIDAE	species	Yellow-bellied Waxbill	Status: Least Concern
