id	basisOfRecord	occurrenceID	recordedBy	individualCount	eventID	scientificName	order	family	vernacularName
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_1	Martin Sindikubwabo, Philip Christophersen	2	T1-1	Centropus monachus			Blue-headed Coucal
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_2	Martin Sindikubwabo, Philip Christophersen	1	T1-1	Turtur tympanistria			Tambourine Dove
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_3	Martin Sindikubwabo, Philip Christophersen	1	T1-1	Motacilla aguimp			African Pied Wagtail
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_4	Martin Sindikubwabo, Philip Christophersen	4	T1-1	Laniarius aethiopicus			Tropical Boubou
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_5	Martin Sindikubwabo, Philip Christophersen	2	T1-1	Passer griseus			Grey-headed Sparrow
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_6	Martin Sindikubwabo, Philip Christophersen	5	T1-1	Pycnonotus barbatus			Common Bulbul
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_7	Martin Sindikubwabo, Philip Christophersen	1	T1-1	Ploceus baglafecht			Baglafecht Weaver
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_8	Martin Sindikubwabo, Philip Christophersen	1	T1-1	Ardea melanocephala			Black-headed Heron
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_9	Martin Sindikubwabo, Philip Christophersen	1	T1-1	Logonosticta senegala			Red-billed Firefinch
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_10	Martin Sindikubwabo, Philip Christophersen	1	T1-1	Cossypha heuglini			White-browed Robin-Chat
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_11	Martin Sindikubwabo, Philip Christophersen	2	T1-1	Cinnyris venusta			Variable Sunbird
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_12	Martin Sindikubwabo, Philip Christophersen	1	T1-1	Turdoides jardineii			Arrow-marked Babbler
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_13	Martin Sindikubwabo, Philip Christophersen	1	T1-1	Vidua macroura			Pin-tailed Whydah
T1-1	HumanObservation	ARCOS_ILAM_Bugesera_2016_14	Martin Sindikubwabo, Philip Christophersen	2	T1-1	Euplectes axillaris			Fan-tailed Widowbird
T1-2	HumanObservation	ARCOS_ILAM_Bugesera_2016_15	Martin Sindikubwabo, Philip Christophersen	4	T1-2	Serinus striolatus			Streaky Seedeater
T1-2	HumanObservation	ARCOS_ILAM_Bugesera_2016_16	Martin Sindikubwabo, Philip Christophersen	2	T1-2	Bostrychia hagedash			Hadada Ibis
T1-2	HumanObservation	ARCOS_ILAM_Bugesera_2016_17	Martin Sindikubwabo, Philip Christophersen	4	T1-2	Euplectes axillaris			Fan-tailed Widowbird
T1-2	HumanObservation	ARCOS_ILAM_Bugesera_2016_18	Martin Sindikubwabo, Philip Christophersen	1	T1-2	Motacilla aguimp			African Pied Wagtail
T1-2	HumanObservation	ARCOS_ILAM_Bugesera_2016_19	Martin Sindikubwabo, Philip Christophersen	2	T1-2	Nectarinia kilmensis			Bronze Sunbird
T1-2	HumanObservation	ARCOS_ILAM_Bugesera_2016_20	Martin Sindikubwabo, Philip Christophersen	2	T1-2	Laniarius erytrogaster			Black-headed Gonolek
T1-2	HumanObservation	ARCOS_ILAM_Bugesera_2016_21	Martin Sindikubwabo, Philip Christophersen	2	T1-2	Lanius excubitoroides			Grey-backed Fiscal
T1-2	HumanObservation	ARCOS_ILAM_Bugesera_2016_22	Martin Sindikubwabo, Philip Christophersen	4	T1-2	Ploceus baglafecht			Baglafecht Weaver
T1-2	HumanObservation	ARCOS_ILAM_Bugesera_2016_23	Martin Sindikubwabo, Philip Christophersen	2	T1-2	Laniarius erytrogaster			Black-headed Gonolek
