id	eventID	eventTime	year	month	day	habitat	eventRemarks	county	municipality	locality	verbatimLocality	verbatimElevation	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters
T1-1	T1-1	8:22	2017	6	12	Open forest	Sunny	Rutsiro	Mukura	Kageyo	Mukura1	2352	-1.98965	29.51166	WGS84	6
T1-2	T1-2	9:00	2017	6	12	High closed forest	Sunny	Rutsiro	Mukura	Kageyo	Mukura1	2394	-1.98939	29.5106	WGS84	8
T1-3	T1-3	9:29	2017	6	12	High closed forest	Sunny	Rutsiro	Mukura	Kageyo	Mukura1	2423	-1.98878	29.50903	WGS84	3
T1-4	T1-4	9:59	2017	6	12	Highope forest	Sunny	Rutsiro	Mukura	Kageyo	Mukura1	2438	-1.98738	29.50883	WGS84	3
T1-5	T1-5	10:30	2017	6	12	High closed forest	Sunny	Rutsiro	Mukura	Kageyo	Mukura1	2478	-1.98602	29.50765	WGS84	3
T1-6	T1-6	10:50	2017	6	12	High open forest	Sunny	Rutsiro	Mukura	Kageyo	Mukura1	2486	-1.98611	29.50916	WGS84	3
T1-7	T1-7	11:08	2017	6	12	High open forest	Sunny	Rutsiro	Mukura	Kageyo	Mukura1	2491	-1.98475	29.50934	WGS84	1
T1-8	T1-8	11:30	2017	6	12	Short crosed forest	Sunny	Rutsiro	Mukura	Kageyo	Mukura1	2492	-1.98333	29.51039	WGS84	1
T1-9	T1-9	11:52	2017	6	12	High open forest	Sunny	Rutsiro	Mukura	Kageyo	Mukura1	2492	-1.98239	29.51156	WGS84	1
T1-10	T1-10	12:12	2017	6	12	High closed forest	Sunny	Rutsiro	Mukura	Kageyo	Mukura2	2500	-1.98241	29.50976	WGS84	1
T2-1	T2-1	7:47	2017	6	13	Farm land	Sunny	Rutsiro	Rusebeya	Mberi	Nyamakanda	2384	-1.94228	29.49078	WGS84	3
T2-2	T2-2	8:13	2017	6	13	Farm land	Sunny	Rutsiro	Rusebeya	Mberi	Nyamakanda	2321	-1.94251	29.48249	WGS84	4
T2-3	T2-3	8:42	2017	6	13	Farm land	Sunny	Rutsiro	Rusebeya	Mberi	Nyamakanda	2276	-1.94225	29.48803	WGS84	5
T2-4	T2-4	9:19	2017	6	13	Farm land	Sunny	Rutsiro	Rusebeya	Mberi	Nyamakanda	2247	-1.94173	29.48665	WGS84	2
T2-5	T2-5	9:40	2017	6	13	Farm land	Sunny	Rutsiro	Rusebeya	Mberi	Nyamakanda	2255	-1.94242	29.48514	WGS84	4
T2-6	T2-6	10:00	2017	6	13	Farm land	Sunny	Rutsiro	Rusebeya	Mberi	Nyamakanda	2275	-1.94248	29.48369	WGS84	8
T2-7	T2-7	10:23	2017	6	13	Farm land	Sunny	Rutsiro	Rusebeya	Mberi	Nyamakanda	2274	-1.94231	29.48209	WGS84	3
T2-8	T2-8	10:50	2017	6	13	Farm land	Sunny	Rutsiro	Rusebeya	Mberi	Nyamakanda	2320	-1.94229	29.48039	WGS84	3
