id	basisOfRecord	occurrenceID	recordedBy	year	month	day	verbatimLocality	decimalLatitude	decimalLongitude	geodeticDatum	scientificName	kingdom	family	genus	specificEpithet	vernacularName
NBDB_BID_2018_MA_0001	HumanObservation	NBDB_BID_2018_MA_0001	Uganda Forest Department	1993	4	18	Matiri Forest Reserve	0.5674	30.7939	EPSG:4326	Crocidura dolichura	Mammals	SORICIDAE	Crocidura	dolichura	Long-tailed Musk Shrew
NBDB_BID_2018_MA_0002	HumanObservation	NBDB_BID_2018_MA_0002	Uganda Forest Department	1993	4	15	Matiri Forest Reserve	0.5674	30.7939	EPSG:4326	Crocidura dolichura	Mammals	SORICIDAE	Crocidura	dolichura	Long-tailed Musk Shrew
NBDB_BID_2018_MA_0003	HumanObservation	NBDB_BID_2018_MA_0003	Uganda Forest Department	1994	9	14	Kibale Forest National Park	0.4423	30.4772	EPSG:4326	Crocidura dolichura	Mammals	SORICIDAE	Crocidura	dolichura	Long-tailed Musk Shrew
NBDB_BID_2018_MA_0004	HumanObservation	NBDB_BID_2018_MA_0004	Uganda Forest Department	1993	11	18	Kalinzu-Maramagambo Forest Reserve	-0.3982	30.0407	EPSG:4326	Crocidura dolichura	Mammals	SORICIDAE	Crocidura	dolichura	Long-tailed Musk Shrew
NBDB_BID_2018_MA_0005	HumanObservation	NBDB_BID_2018_MA_0005	Uganda Forest Department	1993	4	20	Kitechura Forest Reserve	0.7249	30.8758	EPSG:4326	Crocidura dolichura	Mammals	SORICIDAE	Crocidura	dolichura	Long-tailed Musk Shrew
NBDB_BID_2018_MA_0006	HumanObservation	NBDB_BID_2018_MA_0006	Uganda Forest Department	1994	7	15	Bugoma Forest Reserve	1.2945	31.0144	EPSG:4326	Crocidura dolichura	Mammals	SORICIDAE	Crocidura	dolichura	Long-tailed Musk Shrew
NBDB_BID_2018_MA_0007	HumanObservation	NBDB_BID_2018_MA_0007	Uganda Forest Department	1993	4	16	Kitechura Forest Reserve	0.7249	30.8758	EPSG:4326	Crocidura dolichura	Mammals	SORICIDAE	Crocidura	dolichura	Long-tailed Musk Shrew
NBDB_BID_2018_MA_0008	HumanObservation	NBDB_BID_2018_MA_0008	Uganda Forest Department	1993	4	23	Matiri Forest Reserve	0.5674	30.7939	EPSG:4326	Crocidura dolichura	Mammals	SORICIDAE	Crocidura	dolichura	Long-tailed Musk Shrew
NBDB_BID_2018_MA_0009	HumanObservation	NBDB_BID_2018_MA_0009	Uganda Forest Department	1993	4	15	Matiri Forest Reserve	0.5674	30.7939	EPSG:4326	Crocidura dolichura	Mammals	SORICIDAE	Crocidura	dolichura	Long-tailed Musk Shrew
NBDB_BID_2018_MA_0010	HumanObservation	NBDB_BID_2018_MA_0010	Uganda Forest Department	1993	10	6	Kasyoha-Kitomi Forest Reserve	-0.2749	30.2891	EPSG:4326	Crocidura dolichura	Mammals	SORICIDAE	Crocidura	dolichura	Long-tailed Musk Shrew
NBDB_BID_2018_MA_0011	HumanObservation	NBDB_BID_2018_MA_0011	Uganda Forest Department	1993	5	16	Kibale Forest National Park	0.6466	30.3872	EPSG:4326	Crocidura dolichura	Mammals	SORICIDAE	Crocidura	dolichura	Long-tailed Musk Shrew
NBDB_BID_2018_MA_0012	HumanObservation	NBDB_BID_2018_MA_0012	Uganda Forest Department	1994	12	12	Rwenzori Mountains National Park	0.5638	29.9876	EPSG:4326	Crocidura dolichura	Mammals	SORICIDAE	Crocidura	dolichura	Long-tailed Musk Shrew
NBDB_BID_2018_MA_0013	HumanObservation	NBDB_BID_2018_MA_0013	Uganda Forest Department	1993	4	16	Matiri Forest Reserve	0.5674	30.7939	EPSG:4326	Crocidura fuscomurina	Mammals	SORICIDAE	Crocidura	fuscomurina	Tiny Musk Shrew
NBDB_BID_2018_MA_0014	HumanObservation	NBDB_BID_2018_MA_0014	Uganda Forest Department	1993	4	22	Kitechura Forest Reserve	0.7249	30.8758	EPSG:4326	Crocidura gracilipes	Mammals	SORICIDAE	Crocidura	gracilipes	Peter's Musk Shrew
NBDB_BID_2018_MA_0015	HumanObservation	NBDB_BID_2018_MA_0015	Uganda Forest Department	1994	10	17	Budongo Forest Reserve	1.9631	31.7064	EPSG:4326	Crocidura gracilipes	Mammals	SORICIDAE	Crocidura	gracilipes	Peter's Musk Shrew
NBDB_BID_2018_MA_0016	HumanObservation	NBDB_BID_2018_MA_0016	Uganda Forest Department	1993	9	7	Kasyoha-Kitomi Forest Reserve	-0.2587	30.1613	EPSG:4326	Crocidura gracilipes	Mammals	SORICIDAE	Crocidura	gracilipes	Peter's Musk Shrew
NBDB_BID_2018_MA_0017	HumanObservation	NBDB_BID_2018_MA_0017	Uganda Forest Department	1993	9	2	Kasyoha-Kitomi Forest Reserve	-0.3532	30.1244	EPSG:4326	Crocidura gracilipes	Mammals	SORICIDAE	Crocidura	gracilipes	Peter's Musk Shrew
NBDB_BID_2018_MA_0018	HumanObservation	NBDB_BID_2018_MA_0018	Uganda Forest Department	1994	10	17	Budongo Forest Reserve	1.9631	31.7064	EPSG:4326	Crocidura gracilipes	Mammals	SORICIDAE	Crocidura	gracilipes	Peter's Musk Shrew
NBDB_BID_2018_MA_0019	HumanObservation	NBDB_BID_2018_MA_0019	Uganda Forest Department	1993	12	3	Kalinzu-Maramagambo Forest Reserve	-0.5773	29.8346	EPSG:4326	Crocidura hildegardeae	Mammals	SORICIDAE	Crocidura	hildegardeae	Hildegarde's Musk Shrew
NBDB_BID_2018_MA_0020	HumanObservation	NBDB_BID_2018_MA_0020	Uganda Forest Department	1993	4	17	Kitechura Forest Reserve	0.7249	30.8758	EPSG:4326	Crocidura hildegardeae	Mammals	SORICIDAE	Crocidura	hildegardeae	Hildegarde's Musk Shrew
NBDB_BID_2018_MA_0021	HumanObservation	NBDB_BID_2018_MA_0021	Uganda Forest Department	1994	10	24	Budongo Forest Reserve	1.811	31.4229	EPSG:4326	Crocidura hildegardeae	Mammals	SORICIDAE	Crocidura	hildegardeae	Hildegarde's Musk Shrew
NBDB_BID_2018_MA_0022	HumanObservation	NBDB_BID_2018_MA_0022	Uganda Forest Department	1994	3	17	Kasyoha-Kitomi Forest Reserve	-0.1525	30.2693	EPSG:4326	Crocidura jacksoni	Mammals	SORICIDAE	Crocidura	jacksoni	Jackson's Musk Shrew
