id	basisOfRecord	occurrenceID	occurrenceRemarks	recordedBy	individualCount	behavior	eventID	order	family	scientificNameAuthorship	vernacularName
T1_1	HumanObservation	ARCOS_ILAM_2017_Rusumo_1	Sweet potatoes and sorghum plants	Narcisse Uwitonze	10	N	T1_1		Polygonaceae	Polygonum senegalens	
T1_1	HumanObservation	ARCOS_ILAM_2017_Rusumo_2	Sweet potatoes and sorghum plants	Narcisse Uwitonze	8	N	T1_1		Cyperaceae	Juncus oxycarpus	
T1_1	HumanObservation	ARCOS_ILAM_2017_Rusumo_3	Sweet potatoes and sorghum plants	Narcisse Uwitonze	10	FW	T1_1			Eicornia crassipes	
T1_1	HumanObservation	ARCOS_ILAM_2017_Rusumo_4	Sweet potatoes and sorghum plants	Narcisse Uwitonze	10	N	T1_1		Cyperaceae	Cyperus papyrus	
T1_2	HumanObservation	ARCOS_ILAM_2017_Rusumo_5	Sorghum and beans plants	Narcisse Uwitonze	20	N	T1_2		Cyperaceae	Cyperus papyrus	
T1_2	HumanObservation	ARCOS_ILAM_2017_Rusumo_6	Sorghum and beans plants	Narcisse Uwitonze	5	N	T1_2		Polygonaceae	Polygonum senegalens	
T1_3	HumanObservation	ARCOS_ILAM_2017_Rusumo_7	Regenerating of Papyrus after burning	Narcisse Uwitonze	40	N	T1_3		Cyperaceae	Cyperus papyrus	
T1_3	HumanObservation	ARCOS_ILAM_2017_Rusumo_8	Regenerating of Papyrus after burning	Narcisse Uwitonze	20	N	T1_3		Polygonaceae	Polygonum senegalens	
T1_4	HumanObservation	ARCOS_ILAM_2017_Rusumo_9	Regenerating of Papyrus after burning	Narcisse Uwitonze	20	N	T1_4		Cyperaceae	Cyperus papyrus	
T1_4	HumanObservation	ARCOS_ILAM_2017_Rusumo_10	Regenerating of Papyrus after burning	Narcisse Uwitonze	5	N	T1_4		Polygonaceae	Polygonum senegalens	
T1_5	HumanObservation	ARCOS_ILAM_2017_Rusumo_11	Beans and bananas plantation	Narcisse Uwitonze	20	N	T1_5		Cyperaceae	Cyperus latifolius	
T1_5	HumanObservation	ARCOS_ILAM_2017_Rusumo_12	Beans and bananas plantation	Narcisse Uwitonze	15	N	T1_5		Cyperaceae	Cyperus papyrus	
T1_5	HumanObservation	ARCOS_ILAM_2017_Rusumo_13	Beans and bananas plantation	Narcisse Uwitonze	10	FW	T1_5		Polygonaceae	Polygonum senegalens	
T1_6	HumanObservation	ARCOS_ILAM_2017_Rusumo_14	Beans and bananas plantation	Narcisse Uwitonze	10	N	T1_6		Cyperaceae	Juncus oxycarpus	
T1_6	HumanObservation	ARCOS_ILAM_2017_Rusumo_15	Beans and bananas plantation	Narcisse Uwitonze	16	N	T1_6		Cyperaceae	Cyperus papyrus	
T1_6	HumanObservation	ARCOS_ILAM_2017_Rusumo_16	Beans and bananas plantation	Narcisse Uwitonze	2	FW	T1_6		Polygonaceae	Polygonum senegalens	
T1_7	HumanObservation	ARCOS_ILAM_2017_Rusumo_17	Mixed crops	Narcisse Uwitonze	2	N	T1_7			Manguifera indica	
T1_7	HumanObservation	ARCOS_ILAM_2017_Rusumo_18	Mixed crops	Narcisse Uwitonze	3	N	T1_7			Grevellea robusta	
T1_7	HumanObservation	ARCOS_ILAM_2017_Rusumo_19	Mixed crops	Narcisse Uwitonze	5	FR	T1_7		Bignoniaceae	Malkamia lutea	
